Name,Country,Type,Style,Grape,Short Description,Long Description,Per Bottle Price,Mix Six Price,Percentage of reviewers who would buy again,Number of Reviewers,Awards,Closure,Units,Volume
Fallow's View Shiraz,South Africa,Red,Big Red,,LIGHT,"As a South African red fan, you know that the countrys trusty weather and luxurious conditions make it a hub for bang-for-your-buck wine. And its made by the Gabb familys Journeys End winery, which has won countless 90+ point scores from Robert Parker, Tim Atkin MW and Neal Martin to name just a few. Shropshire-born Roger Gabb founded Journeys End, in Stellenbosch, less than 25 years ago. Its since become one of South Africas leading wineries.",6.99,4.99,83.0,93,[],,9.8,75.0
"Merf Chardonnay, 2017",USA,White,Rich White,,DRY,"With flavours of bright apple, pear, tropical fruit and delightful creamy notes from integrated oak, this is a Chardonnay to give even our ever-popular Bread & Butter Chardonnay a run for its money.",13.99,11.99,100.0,1,[],,10.9,75.0
Ramos Reserva 2017 Vinho Regional Alentejano,Portugal,Red,Smooth Red,,MEDIUM,"João Portugal Ramos started planting his own vines in Alentejo in 1990, gradually increasing the vineyard area and developing the winery. Traditional foot-treading in marble lagares is still practised on the estate, alongside modern temperature-controlled fermentation. A robust ruby red wine, with dense aromas of red berries and pudding spice. Flavours on the palate are bright, thick and jammy, with fine-grained, well integrated tannins and good length. Enjoy with a roasted pork loin marinated in Mediterranean spices.",8.99,7.49,92.0,106,['Decanter 2018 - Bronze Award'],Natural Cork,10.5,75.0
Napa Family Vineyards Cabernet Sauvignon 2017,,Red,Big Red,,MEDIUM,"Everything you'd hope from a classic Napa Valley Cab - rich and brooding with rich cassis, blackberry, and black cherry fruit juxtaposed against hints of cedar, but with supple tannins that provide a fantastic elegance.",22.99,19.99,100.0,4,[],,10.9,75.0
Domaine Les Yeuses 'Les Epices' Syrah 2017 PGI Pays d'Oc,France,Red,Fruity Red,Syrah,FULL,"Not far from the Mediterranean, Domaine Les Yeuses is near Mèze in the Languedoc region. Jean-Paul and Michel Dardé work together with winemaking consultants to ensure the best results from the soil, vines, grapes and climate. It has wonderfully spicy, perfumed Syrah fruit and an elegant softness and roundness which mark it out as a wine of quality. The finish is long, with an intriguing bitter-sweet pepper note. Superb complexity for the money, this award-winning wine will age for 2-3 years but is fantastic now with all manner of meat dishes.",11.99,9.99,84.0,67,[],Natural Cork,10.1,75.0
"Zinopolois Zinfandel, 2017",,Red,Big Red,,MEDIUM,"As suggested by the slightly otherworldly name - this Zin' sticks out from the crowd. It's expertly woven layers of sun-dried cherry, white pepper and tobacco. It was a no-brainer to grab this parcel to treat Zinfandel fans.",12.99,10.99,100.0,3,[],,10.5,75.0
Château Musar 1999 Gaston Hochar,Lebanon,Red,Big Red,,FULL,"An exceptional vintage, 1999 produced a wine with plenty of power, richness and concentration, due to a relatively mild growing season which ended with a increased temperatures closer to harvest time. The wine is deeply coloured, dense and fleshy, with good fruit sweetness and plenty of smoky, chocolaty, spicy notes.",35.0,31.50,83.0,6,[],Natural Cork,10.5,75.0
Santa Rita 120 Cabernet Franc 2016 Central Valley,Chile,Red,Big Red,Cabernet Franc,MEDIUM,"As well as being a constituent of many Bordeaux blends, Cabernet Franc is the classic red variety of much of the Loire region, particularly Saumur and Chinon. This Chilean example offers a rare glimpse of Cabernet Franc a single varietal wine from outside of France. A medium-bodied, ruby red wine, offering aromas of ripe red berries, wild herbs and tomato leaf. The palate delivers ripe cherry and raspberry fruit, with both fresh acidity and rounded tannin. A great partner for soft cheeses and fresh tomato pasta dishes.",8.99,7.49,93.0,41,[],Screwcap,10.1,75.0
Santa Rita 120 Sauvignon Blanc 2017 Central Valley,Chile,White,Fruity White,"Sémillon, Sauvignon Blanc",DRY,"Santa Rita's 120 range places the emphasis firmly on lively, up-front fruit flavours, and great value. Maximum fruit character is obtained by hand-harvesting and cold fermentation of the Sauvignon grapes, and the addition of 2% Semillon helps keep the blend well-rounded. Crisp and refreshing, this wine offers an abundance of grapefruit and lemon fruit flavours, delivered in a softer, more tropical fruit texture. A great party wine, endlessly gluggable on its own, or alongside seafood.",8.99,7.49,87.0,30,[],Screwcap,10.1,75.0
Château Clarke Listrac-Médoc 2010,,Red,Big Red,,MEDIUM,"Ripe yet elegant and displaying bold flavours of blackcurrant, dark plums and cedar. Now at its peak this is fabulous value and ideal for drinking now.",35.0,26.24,87.0,30,[],,10.5,75.0
Morandé one to one Gewurztraminer 2017,Chile,White,Fruity White,Gewürztraminer,DRY,"The grapes for this wine are grown on low fertility soils in the Casablanca Valley. This combined with the cold maritime climate produce grapes that are highly aromatic and this translates into the wine. Intense and full of flavours such as lychee, orange blossom, melon and jasmine. While rich this wine is balanced by the fresh aromatic flavours. This will be a delight with spicy Asian dishes",8.99,7.99,93.0,68,[],Screwcap,9.8,75.0
Pouilly Fume Pierre Marchand 2018,France,White,Fruity White,Sauvignon Blanc,DRY,"This classic Pouilly Fume displays elements of gooseberry, citrus and apple with a fine, cleansing acidity and a delicious hint of smoke on the long finish.",14.99,12.99,86.0,14,['Decanter 2019 - Silver Award'],,9.4,75.0
Les Haut Vignes Cairanne 2017,France,Red,Big Red,,FULL,"Cairanne is a village in the southern Rhone valley that makes wines in a similar style to CNDP. Indeed, the wines of Cairanne ofter represent far better value that the entry level wines of its more famous neighbour. Classic Rhone flavours of intense bramble, blackcurrant and plum with pungent sweet herbs and spice. Try this with rabbit stewed in wine with thyme.",13.99,11.99,81.0,27,[],Natural Cork,10.5,75.0
Conte di Zanone Barolo,Italy,Red,Big Red,,MEDIUM,"Barolo's 2014 vintage was exceptional. You're in for punchy flavours of cherry, raspberry, a dusting of rose petals, some well-integrated tannins and gallons of taste. Treat yourself to the king of Italian reds!",19.99,11.98,38.0,8,[],,10.5,75.0
Vina Vedra Albariño,Spain,White,Fruity White,Albariño,DRY,"Sustainably-made, modern, and delicious. Lots of vibrant green fruit and a zesty, citrus finish. Try with seafood-based dishes from the region and you'll be impressed!",12.99,9.99,100.0,8,[],,9.8,75.0
"Grüner Veltliner 2018 Weingärten Weissenkirchen, Wachau",Austria,White,Crisp White,Grüner Veltliner,DRY,"The Wachau region of Austria comprises of a 33 kilometer long gorge overlooking the Danube river. Produced from vines grown around the Weissenkirchen parish including the hamlets of Joching and Wösendorf. Grüner Veltliner is an aromatic variety primarily from Austria. The colour of fresh straw, an alluring nose of gooseberries with a hint of green apple and flowers. Well balanced acidity and citrus fruits leading to a spicy, lively wine of minerality and elegance. Drinkable at any time over the next six years. An excellent accompaniment for prosciutto, seared scallops or bisques.",12.99,10.99,93.0,104,[],Screwcap,9.0,75.0
Errazuriz Estate Series Pinot Noir 2018 Valle de Aconcagua,Chile,Red,Fruity Red,,MEDIUM,"Don Maximiano Errázuriz founded Viña Errázuriz in 1870 in the Valle de Aconcagua, 100 kms north of the capital city, Santiago. He realised that the cool, rainy winters and hot, dry summers combined with Pacific breezes to make it an ideal area to grow grapes. An attractive colour with an aromatic nose of cherries, floral notes and a touch of mint. The fresh palate displays fruit that is well-balanced by smoky nuances from the oak ageing. A smooth, silky mouthfeel make this an excellent partner to roast pork or fillet of salmon.",9.99,6.99,83.0,54,['IWC 2017 - Silver Award'],Screwcap,10.1,75.0
"Sexy Beast Cabernet 2017 Two Hands, McLaren Vale",Australia,Red,Big Red,Cabernet Sauvignon,FULL,"Two Hands source their Cabernet Sauvignon from a range of sites throughout McLaren Vale to make this voluptuous wine. Vinified in traditional open fermenters, the wine is then matured for 14 months in French oak hogsheads. A deep and lush ruby colour, with an alluring nose of rich fruit, and subtle touches of violet, smoke, and leafy herbs. Fulsome yet elegant, the tannins are smooth and the palate tightly structured. Enjoy immediately or cellar for up to 10 years.",21.99,18.99,93.0,28,[],Screwcap,10.5,75.0
Poste Restante Organic Verdejo 2018,,White,Crisp White,Verdejo,DRY,"Organically farmed this is a delightfully crisp, dry and refreshing addition to our range of Spanish whites. Vibrantly fruity this is packed with citrus, pear and intense herbal flavours.",9.99,7.99,77.0,13,[],,9.0,75.0
Saint-Joseph 2017 Cave de Tain,France,Red,Smooth Red,Syrah,MEDIUM,"This rich Syrah retains a remarkable freshness and purity of flavour. Bright blackcurrant and raspberry flavours are followed by notes of pepper, violets and minerals.",17.99,14.99,100.0,1,[],,10.1,75.0
Amarone Classico 'Vigneti di Roccolo' 2016 Cantina Negrar,Italy,Red,Big Red,,FULL,"When it comes to rich reds, nothing beats Amarone. It's the king of Italian wine for good reason. And with its colossal rich, black-fruit flavour, this is a prime example. Put your feet up. Pour a large glass. Relax. This is comfort in a bottle.",22.99,19.99,97.0,65,"['IWC 2019 - Bronze Award', 'IWC 2017 - Bronze Award']",Natural Cork,11.3,75.0
LFE 900 Single-Vineyard 2013 Colchagua Valley,Chile,Red,Big Red,"Grenache, Syrah, Mourvèdre",FULL,"This wine is a blend of Syrah, Petite Syrah, Grenache and Mourvedre. All are sourced from the same high-altitude vineyard in Colchagua Valley, which enjoys average temperatures 3ºC lower than in the valley floor, producing intensely flavoured, slow-ripened grapes. As a result the wine is a symphony of ripe, dense black fruit flavour, structured by muscular yet velvety tannins.",16.99,14.99,95.0,22,['IWC 2017 - Silver Award'],,10.9,75.0
Bourgogne Pinot Noir 'Les Pierres Rouges' 2017 Louis Jadot,France,Red,Fruity Red,,MEDIUM,"Maison Louis Jadot has been making wine in Burgundy since before 1859. With an unwavering dedication to quality, winemaker Jacques Lardière aims for excellence with all his wines. Displaying subtle hints of red fruit and violets on the nose, with a well rounded palate of cherry and raspberry fruit with a rounded texture. Gently tannic and with good length. Drinking superbly on its own, also try this with small game.",16.99,14.99,88.0,26,[],Natural Cork,9.0,75.0
Champ Libre Chenin Blanc 2017,France,White,Fruity White,Chenin Blanc,DRY,"Chenin Blanc has been grown by the Loire for over 100 years and is something of a regional speciality. Aromas of golden apple & ripe citrus with peachy flavours & a tangy apple skin finish. Match with thai dishes, pan fried fish or roast chicken",11.99,9.99,72.0,18,[],,8.6,75.0
The Palm by Whispering Angel 2018,France,Rose,Rose,,DRY,"Made by the same Provence Château, The Palm is the sister rosé to Whispering Angel. It's every crisp note of watermelon, summer berries and pink blossom that you'd expect from its sibling - but you can shave a few quid off the usual asking price.",18.99,14.99,71.0,7,[],,9.4,75.0
"Vouvray Domaine des Aubuisières 2018 Cuvée de Perruches, Bernard Fouquet",France,White,Sweet White,,MEDIUM,"Bernard Fouquet has around 30ha of Chenin vines, planted across a range of soils, from limestone to flint. Each parcel is hand-picked and vinified separately, with fermentation taking place partly in oak barrels and partly in old glass-lined vats cut into the rock. A pure, well developed nose of fresh quince and pear. The palate is a swathe of ripe apple fruit, with a honeyed sweetness, balanced by Chenin's characteristic blade-like acidity and mineral grip. A superb aperitif wine which will also partner the delicate flavours of salmon en croute or cold cured meats.",12.99,11.49,94.0,32,[],Screwcap,9.4,75.0
Catena Alta Malbec 2016 Mendoza,Argentina,Red,Big Red,,FULL,"In 1994 Catena Alta became one of the first premium Malbecs to be exported from Argentina. From the best rows of vines, rigorously sorted and aged in French oak, 70% of which is new. Quintessential Malbec, displaying the power and ageing potential of Argentina. Deep purple in colour, with intense aromas of blackberry with hints of violets, sweet spices, vanilla and tobacco. Full bodied with integrated ripe tannins, black pepper spice and a lingering finish. Decant well in advance and enjoy over the next decade. It may be clichéd, but steak, meat and more meat provide for a fantastic match.",33.0,29.70,94.0,32,[],Natural Cork,10.5,75.0
Château Pigoudet La Chapelle Rosé 2017 Coteaux dAix-en-Provence,France,Rose,Rose,,DRY,"Due to its excellent southern position, embedded in a picturesque valley close to the river Durance, Château Pigoudet benefits from sunshine all year round. The wine has been made using the saignée method. Super-light and the colour of bright pink petals, the nose boasts red apples and ripe cherries and flower petals. Fresh and citrussy, this aromatic rosé lingers on a beautiful mineral finish. Enjoy with Salade Niçoise.",12.99,10.99,95.0,55,"['Decanter 2018 - Bronze Award', 'Decanter 2017 - Bronze Award']",Synthetic Cork,9.8,75.0
Bienbebido Pulpo Albariño 2018,Spain,White,Crisp White,,DRY,"Perhaps unsurprisingly given the seafood-rich gastronomy of Spain's north coast, Vintae have settled on the region's most famous white, Albariño as their ideal accompaniment for octopus, a typical dish of Galicia and the Basque country. A fresh and vibrant wine with a pleasant balance between citrussy refreshment and easy-going apple and stone-fruit flavours, delivered on a satisfyingly soft-edged palate. Will pair well with many flavoursome seafood dishes, but try it with octopus dressed with olive oil and paprika for the full experience.",9.99,8.99,92.0,88,[],Screwcap,9.4,75.0
San Huberto Malbec La Rioja,Argentina,Red,Big Red,Malbec,MEDIUM,"Deep ruby coloured with smoky black fruits of cassis, blackberry and spice. The concentration of the wine performs well above its price point with soft tannins and a long finish.",9.99,7.99,95.0,37,[],,10.1,75.0
Crozes-Hermitage 'Petite Ruche' 2017 M. Chapoutier,France,Red,Smooth Red,,FULL,"Crozes-Hermitage is the largest appellation of the northern Rhône, and is known for making good value Syrah-based reds that echo the style of the famous Hermitage. No oak is used in this wine's production to maintain a vivid fruit character. Intense ruby-purple colour. Ripe blackberry aromas dominate the nose, and are supported by subtle sage-like hints. Supple tannins give a round shape to the medium-weight, smooth-textured palate. Enjoy with a well-seasoned pork belly casserole.",18.99,16.99,75.0,12,[],Natural Cork,9.8,75.0
Mas Querido Field Blend 2018,Spain,White,Fruity White,,DRY,From a single plot of land planted with multiple varieties this wine is a unique expression of an individual terroir. Citrussy and bright with a fine fresh finish this shows why field blends are currently enjoying a world wide renaissance.,7.99,5.99,94.0,51,[],,9.4,75.0
The King's Thorn Pinot Gris 2015 Marlborough,New Zealand,White,Fruity White,Pinot Gris,DRY,"Something of a thorn in the side for some winemakers, Pinot Gris requires a very measured approach in order to achieve a balance of texture, sweetness, acidity and fruit character. This excellent example treads the fine line between the Alsatian and Italian styles. Delicately pink, indicating natural sun ripening. The nose is lifted and perfumed with honeysuckle and peach. A lightly unctuous and off-dry palate are lifted by acidity and a hint of natural spritz. Delicious on its own but a brilliantly versatile food wine to boot. Try with grilled prawns, white meats or creamy cheeses.",14.99,11.99,89.0,27,"['IWC 2018 - Silver Award', 'Decanter 2018 - Silver Award', 'IWC 2017 - Silver Award']",Screwcap,10.5,75.0
Domaine Compostelle Pomerol 2012,,Red,Big Red,,MEDIUM,,26.99,23.99,89.0,27,[],,9.8,75.0
Bourgogne Chardonnay 'Les Chenaudières' 2016/17 Cave de Lugny,France,White,Crisp White,,DRY,"A stylish wine from one of Burgundy's most reliable and reputable cooperatives. Cave de Lugny is situated in the heart of the Mâconnais, and is the biggest producer of the region. Crisp and elegant with citrus and apple fruit characters alongside a lovely streak of minerality. Refined and classy, with good length. Ideally partnered with light seafood dishes. Drink well chilled and in its youth.",12.99,10.99,90.0,78,"['Decanter 2018 - Bronze Award', 'Decanter 2017 - Bronze Award']",Screwcap,9.8,75.0
Santa Rita Medalla Real Chardonnay 2018 Limari Valley,Chile,White,Rich White,,DRY,"Sourced mainly from the Limarí Valley, the northernmost vineyard district in Chile. Although closer to the equator, the valley is efficiently cooled by sea breezes, due to its east-west orientation. This Chardonnay is barrel fermented and undergoes regular lees stirring. Bright golden in colour, with a faint green tint. The nose offers good ripeness, with citrus aromas turning to a softer, more apple and stone fruit character. Weighty and creamy on the palate. Balances well with oily fish such as baked sea bass, barbecued pork belly or roasted poultry.",11.99,10.79,93.0,86,['IWC 2018 - Silver Award'],Natural Cork,10.1,75.0
Domaine de la Métairie dAlon Pinot Noir 2017,,Red,Fruity Red,,MEDIUM,"Coming from the highest plot on the 25 hectare estate the grapes produces an extremely Burgundian style of Pinot Noir. Fresh and fine this is an expressive wine where cherry, blueberry and redcurrant fruit flavours intermingle with notes of spice and rhubarb. The tannins are now well integrated and slightly peppery, the finish is long and clean with just a touch of liquorice.",22.99,19.99,100.0,3,[],,10.1,75.0
"As Caixas Godello 2018 Martín Códax, Monterrei",Spain,White,Crisp White,,DRY,"Grown throughout the north-west of Spain, in the past Godello has most often been used as a constituent for blends, but has gained increasing recognition as a quality varietal in its own right. A delicate yet multi-faceted nose of lemon, crunchy pear, melon and subtle floral notes marries with a palate of remarkable texture and a lengthy, citrus zest finish. Drink with grilled sardines or salt cod.",9.99,8.99,93.0,99,[],Screwcap,9.8,75.0
Dog Point Chardonnay 2015 Marlborough,New Zealand,White,Rich White,,DRY,"18 months in mainly old French oak barrels has formed this top quality Marlborough Chardonnay into a genuine rival to premier cru Burgundy. Straw coloured, with aromas of flint, grapefruit peel and ripe citrus fruits are framed by nutty mineral nuances in this wine. Seamlessly integrated oak leads into a wonderfully balanced Chardonnay with a concentrated and lively finish. Will reward careful cellaring of 3-5 years.",28.0,25.00,100.0,2,[],Natural Cork,10.5,75.0
Gigondas Carobelle 2018,France,Red,Smooth Red,,MEDIUM,"This beautiful Gigondas wine with great concentration and balance. An elegant nose of black fruit is followed by a remarkable palate of blackcurrant, thyme, liquorice and tobacco character",18.99,16.99,75.0,8,[],,10.5,75.0
Spring Break Chardonnay 2017,,White,Rich White,,DRY,"Californian Chardonnay without the oak? Yes! It's a clean, fresh white with notes of green apple, layers of ripe peach and a drizzling of honey.",7.99,5.99,100.0,7,[],,9.4,75.0
Fallow's View Shiraz,South Africa,Red,Big Red,,LIGHT,"As a South African red fan, you know that the countrys trusty weather and luxurious conditions make it a hub for bang-for-your-buck wine. And its made by the Gabb familys Journeys End winery, which has won countless 90+ point scores from Robert Parker, Tim Atkin MW and Neal Martin to name just a few. Shropshire-born Roger Gabb founded Journeys End, in Stellenbosch, less than 25 years ago. Its since become one of South Africas leading wineries.",6.99,4.99,,,[],,9.8,75.0
Chateau Bonalgue Pomerol 2014,,Red,Big Red,,LIGHT,"It's a polished red, brimming with hints of jammy black fruits, tobacco, mocha and a decadent lick of vanilla. It also boasts silky tannins and a seemingly endless finish.",45.0,33.73,,,[],,10.1,75.0
"Clare Wine Co Watervale Riesling 2018, Clare Valley",,White,Crisp White,Riesling,DRY,Perfectly balanced the acidity here add a delightful freshness without overpowering the lime and apple flavours that flow on to a gently floral finish.,12.99,10.99,89.0,38.0,[],,9.4,75.0
Gabb Family Chardonnay 2018,South Africa,White,Rich White,Chardonnay,DRY,Situated in the most Southerly part of Stellenbosch the cooler climate of the vineyards produces a premium wine with rich and complex flavours of Vanilla and butterscoth balanced by a fresh citrus finish.,14.99,11.99,81.0,59.0,[],,10.5,75.0
Verdicchio dei Castelli di Jesi 2018 Monte Schiavo,Italy,White,Crisp White,,DRY,"Monte Schiavo are a large cooperative group. The fruit is sourced from over 35 growers, and the quality is usually superb. Verdicchio is the signature wine from the Marche region on the Adriatic coast, and is one of the prime examples of a fresh, summery Italian white. An invigorating wine with great diversity of fruit, including lemon, pineapple and lime along with ripe apricot notes. The finish has an interesting bitter almond streak. This is the quintessential Italian white wine. Perfect as a party wine or for outdoor drinking (preferably in the sun).",9.99,8.99,86.0,49.0,[],Screwcap,9.4,75.0
Rioja Roda I Reserva 2013 Bodegas Roda,Spain,Red,Smooth Red,,MEDIUM,"No expense has been spared at Bodegas Roda in trying to produce the finest wines in this famous region. Huge investment in both vineyard and winery coupled with incredibly high standards produce a modern and sexy wine which has critics cooing. This Reserva is produced from some very old, extremely low yielding vines. 2009 was a strong vintage in Rioja, and the Reserva has plenty of weight and fine-grained tannins, and an immense nose of incense and spice. Drink now or over the next 3-5 years.",48.0,43.00,100.0,9.0,[],Natural Cork,10.9,75.0
Croft Reserve Tawny Port,Portugal,Dessert & Fortified,Port,,FULL,"Croft Reserve Tawny Porto is an exciting new concept in Port Wine, combining the rich character of an aged tawny with ready-to-drink smoothness and spice. Flavours of dried apricot and roasted almonds and walnuts fly out of the glass directly onto the palate. Blue veined cheeses make a fantastic suitor.",16.99,14.99,86.0,22.0,[],Natural Cork,15.0,75.0
Gabb Family Sauvignon Blanc,South Africa,White,Fruity White,Sauvignon Blanc,DRY,"A pronounced nose, with lime, green fig, kiwi fruit, gooseberries and hints of herbaciousness and minerality. The palate displays beautiful kiwi fruit and tangy green apple.",14.99,9.99,100.0,1.0,[],,9.8,75.0
Dr Loosen Slate Hill Riesling 2018,Germany,White,Sweet White,,MEDIUM,"The Dr Loosen has been in the same family for over 200 years and included vines in some of the best vineyards in Germany. Yields are stricly limited with rigourous selection to remove inferior fruit before vinification. This is a classic, fragrant and honeyed Riesling with pungent fruit flavours of peach, apricot and lime. The finish is refreshingly mineral making this a dangerously quaffable wine. Enjoy this with asian spiced dishes",11.99,9.99,83.0,52.0,[],Screwcap,6.4,75.0
Abbotts & Delaunay Mourvedre 2017,France,Red,Fruity Red,,FULL,We love the wines Abbotts & Delaunay make in the Aude region of the Languedoc. The Mouvedre is deep and intense with black fruit flavours to the fore. For such a rich wine the finish is surprizingly smooth and fresh with notes of spice.,9.99,8.99,93.0,14.0,[],,9.8,75.0
Hexadique Cote du Rhone Blanc,France,White,Rich White,"Viognier, Grenache",DRY,"A fresh style of Côtes du Rhône Blanc; delicate floral notes and a hint of oak lead to a fresh medium-bodied palate with flavours of pears, melon and honeysuckle.",11.99,9.99,100.0,1.0,[],,9.8,75.0
Penfolds Max's Shiraz Cabernet Sauvignon 2016,Australia,Red,Big Red,"Shiraz, Cabernet Sauvignon",MEDIUM,Rich and complex the Shiraz adds blueberry flavoured fruitiness while the Cabernet brings a mineral complexity reminiscent of slate and iron filings.,22.99,19.99,100.0,1.0,[],,10.5,75.0
Vasse Felix Heytesbury Chardonnay 2015 Margaret River,Australia,White,Rich White,Chardonnay,DRY,"Produced in the Wilyabrup sub region of Margaret River region of Western Australia, from grapes grown under the influence of nearby oceans. Fermented using wild yeasts and matured for 10 months in French Oak, Heytesbury is a barrel selection of the best Chardonnay. Rich and buttery aromas with stone-fruits, vanilla, peaches and toast. Medium weight yet opulent, with layers of complexity; citrus notes, hints of cream and a long, intense finish. The wine has the capacity to age for the next 5 years or enjoyed now. Drink with roasted seafood, creamy sauces and roasted poultry.",44.99,39.99,100.0,1.0,[],Screwcap,10.1,75.0
"Château Grimont Cuvée Prestige 2014/2015, Cadillac Côtes de Bordeaux.",,Red,Big Red,,MEDIUM,"Made from selected parcels of grapes grown on clay/gravel soils this is a classic claret with flavours of blackcurrant, plum and cedar. Aged to perfection this is a treat you will not want to miss Made from selected parcels of grapes grown on clay/gravel soils this is a classic claret with flavours of blackcurrant, plum and cedar. Aged to perfection, this is a treat you will not want to miss. Try it with a warming beef ragu or herb encrusted slow roast lamb.",13.99,9.99,74.0,23.0,[],,9.8,75.0
Far Out Merlot,USA,Red,Fruity Red,,LIGHT,"Ripe plummy with an excellent depth of flavour this possesses ripe tannins, and elegant structure and a long finish.",7.99,5.99,100.0,10.0,[],,9.8,75.0
Château Musar 1998 Gaston Hochar,Lebanon,Red,Big Red,,FULL,"""The 1998 Chateau Musar is a rather prototypical Musar - lots of acidity, some brett, fine structure. It reveals a more gentle style on opening, but aeration proves how much underlying power it actually has. (That is, a lot.) ... There is plenty of power, tannin and acidity, but there is also some balance. I loved the silky texture, emphasized in this vintage. It finishes with a controlled bang. This greatly benefitted from some air, showing layers that I did not initially think it had, but it does seem a bit on the lighter side. Drink now-2030"". 90 points. Mark Squires, The Wine Advocate.",37.0,33.30,0.0,1.0,[],Natural Cork,10.5,75.0
Waimea Estate Gewürztraminer 2016/17 Nelson,New Zealand,White,Sweet White,,MEDIUM,"Nelson experiences long, sunny days and Waimea are one of the best producers here. In the early nineties, Trevor and Robyn Bolitho were growing apples on this estate and diversified into vines, with impressive results. An intense, tropical-fruit-laden wine, full of concentrated flavours of orange zest and lychee, embellished with floral notes on the nose and a delicate yet slightly unctuous texture. The off-dry apéritif style really emphasises the wine's fruitiness. A marvellous match for spicy foods such as Thai curry.",15.99,10.99,88.0,103.0,"['IWC 2018 - Silver Award', 'Decanter 2018 - Silver Award']",Screwcap,10.1,75.0
Côtes du Rhône 2016 Vidal-Fleury,France,Red,Smooth Red,"Carignan, Mourvèdre, Syrah, Grenache",MEDIUM,"Vidal-Fleury is the Rhône Valley's oldest continuously-operating winery, established in 1781. Today, head winemaker is Guy Sarton du Jonchay, whose experience takes in Bordeaux, Australia's Rosemount Estate and Cavas de Weinert of Argentina. Brilliant garnet in colour, with a classic Rhône nose of bramble fruits and heady spice. The medium-bodied palate has fresh and snappy red fruit surrounded by firm and persistent tannins. Serve alongside Lyonnaise sausage or a herby cassoulet with duck confit.",11.99,9.99,92.0,77.0,[],Natural Cork,10.5,75.0
Pietrariccia Fiano 2018 Surani,Italy,White,Fruity White,,DRY,"Masseria Surani is an estate dating back to the early 1900's, and is located just 6km from the Ionian coast in Apuglia, Italy's 'heel'. The Fiano grape is found almost exclusively in southern Italy and Sicily, and is thought to have it origins in ancient Greece. A bright lemon colour with a golden tinge. The nose offers an inviting mixture of citrus and tropical fruit with floral hints. Crisp acidity and good palate texture make for a refreshing, satisfying feel. Drink with a salad, generously dressed with olive oil, anchovies and pine kernels.",11.99,9.99,89.0,130.0,[],Natural Cork,9.8,75.0
Fitou Fleurs de la Vigne 2017,France,Red,Fruity Red,"Syrah, Grenache",MEDIUM,"Fitou, Fleurs de la Vigne is produced from low yielding vines in the coastal area of the fitou appellation. It is made from carignan, grenache and mourvèdre - the carignan adds the back bone and structure to the wine , the grenache the juicy fruit and the mourvèdre the rich aromas. Aromas and flavours of brambles, plum and rosemary ooze out with well structured body and complexity. Wild boar stew ! So it is particularly good with red meats but also sausages and meat pies or just a good juicy steak",11.99,9.99,73.0,11.0,[],,9.8,75.0
Le Vassal de Mercues Malbec Cahors 2015/16,France,Red,Big Red,Malbec,MEDIUM,"Mendoza's rightly celebrated for its fruit-packed Malbec. But Cahors is where you'll discover its more refined, elegant brother. Powerful flavours of black cherry, redcurrants and spices will indulge your palate to make every sip more inviting. Powerful flavours of black cherry, redcurrant and spices alongside a silky smooth coating of tannins to give this wine its richness. Mature cheddar, Gouda and blue veined cheeses beckon you while holding a glass of this glorious Cahor Malbec",13.99,11.99,100.0,1.0,[],,9.8,75.0
"Albana Secco Campodora DOCG, Romagna",,White,Crisp White,,DRY,"Albana is a unique Italian grape variety, planted almost exclusively in the Emilia-Romagna region. The wine crafted from the grape was first awarded DOCG status in 1987 - a classification of the highest quality wines. Its roots date back far longer - with an impressive history that dates as far back as Roman times. Much-loved locally, and with a deep connection to its past, this is an elegant, expressive white for true wine enthusiasts. At first glance, Albana Secco Campodoro is an inviting deep golden in hue. On the nose, you can expect lush aromas of acacia flowers and ripe peach. Upon sipping, you'll be met with a luscious texture that carries a generous marriage of apricot, citrus and enchanting floral notes. It's a true charmer of a wine and will partner beautifully with rich risotto and fresh seafood.",11.99,8.99,100.0,5.0,[],,9.8,75.0
Orvieto Classico Secco Vigneto Mortaro 2018 Barberani,Italy,White,Crisp White,,DRY,"Orvieto is a DOC wine and comes from the area surrounding the medieval hill city of Orvieto in Umbria, where Pope Clement VII fled following the sacking of Rome. Traditionally vinified sweet, it is now dry more often than not. Attractive pale colour with green lights and a fresh, fruity nose. Clean and full of citrussy fruity, with a nice nuttiness on the palate and a very crisp finish. This will go really well with a salmon, pasta and pesto salad.",11.99,8.99,88.0,57.0,[],Natural Cork,9.0,75.0
Abbott's & Delaunay Fruits Sauvage Sauvignon Blanc 2017,France,White,Fruity White,Sauvignon Blanc,DRY,"Expect uplifting aromas of lemon, passionfruit and honeysuckle, perfectly brushed with a fine stroke of acidity. Enchantingly aromatic, balanced and rich - this is elegant Sauvignon Blanc at its finest.",10.99,8.99,87.0,95.0,[],,9.8,75.0
The Fox Moth Merlot,,Red,Fruity Red,,MEDIUM,New Zealand may be more famous for Sauvignon Blanc and Pinot Noir but ripe plum and blackcurrant flavours of this soft and plummy Merlot show there is more to discover.,14.99,8.99,,,[],,10.1,75.0
